"Année","Mois de la collecte","Montant TVA collecté (hors douanes) en €"
"2009","02février","3.54723505E8"
"2009","03mars","3.38275565E8"
"2009","04avril","4.61473153E8"
"2009","05mai","4.13299958E8"
"2009","06juin","3.55837497E8"
"2009","07juillet","4.85307046E8"
"2009","08août","3.82700225E8"
"2009","09septembre","3.74503452E8"
"2009","10octobre","4.34640769E8"
"2009","11novembre","3.85495839E8"
"2009","12décembre","3.9140151E8"
"2010","01janvier","4.86912538E8"
"2010","02février","3.16877593E8"
"2010","03mars","3.27397143E8"
"2010","04avril","4.44528946E8"
"2010","05mai","3.89651888E8"
"2010","06juin","3.40315703E8"
"2010","07juillet","4.65341253E8"
"2010","08août","3.86901472E8"
"2010","09septembre","3.80001842E8"
"2010","10octobre","4.42122094E8"
"2010","11novembre","3.84687508E8"
"2010","12décembre","4.04477051E8"
"2011","01janvier","4.96339819E8"
"2011","02février","3.19516651E8"
"2011","03mars","3.67919105E8"
"2011","04avril","4.46751458E8"
"2011","05mai","3.95898439E8"
"2011","06juin","3.9656977E8"
"2011","07juillet","4.53744766E8"
"2011","08août","3.87503895E8"
"2011","09septembre","3.92379188E8"
"2011","10octobre","4.51927065E8"
"2011","11novembre","3.86467275E8"
"2011","12décembre","4.14740144E8"
"2012","01janvier","5.02792171E8"
"2012","02février","3.98392433E8"
"2012","03mars","3.51478803E8"
"2012","04avril","4.61786671E8"
"2012","05mai","4.18564728E8"
"2012","06juin","3.84021628E8"
"2012","07juillet","4.81201183E8"
"2012","08août","4.12984986E8"
"2012","09septembre","4.17523172E8"
"2012","10octobre","4.48538265E8"
"2012","11novembre","4.22464038E8"
"2012","12décembre","4.28927764E8"
"2013","01janvier","4.88825077E8"
"2013","02février","3.93625697E8"
"2013","03mars","3.44290932E8"
"2013","04avril","4.43064293E8"
"2013","05mai","4.53749951E8"
"2013","06juin","3.8673822E8"
"2013","07juillet","4.74251226E8"
"2013","08août","4.28024331E8"
"2013","09septembre","4.22780482E8"
"2013","10octobre","4.6847486E8"
"2013","11novembre","4.39502474E8"
"2013","12décembre","4.20972008E8"
"2014","01janvier","5.34840294E8"
"2014","02février","4.15641357E8"
"2014","03mars","3.76244582E8"
"2014","04avril","4.75825267E8"
"2014","05mai","4.63203188E8"
"2014","06juin","4.19760665E8"
"2014","07juillet","5.08721334E8"
"2014","08août","4.47867987E8"
"2014","09septembre","4.28707862E8"
"2014","10octobre","5.03378871E8"
"2014","11novembre","4.61178158E8"
"2014","12décembre","4.42481751E8"
"2015","01janvier","5.45012609E8"
"2015","02février","4.3335466E8"
"2015","03mars","3.79595449E8"
"2015","04avril","4.66679365E8"
"2015","05mai","5.0193423E8"
"2015","06juin","4.13593585E8"
"2015","07juillet","5.80211977E8"
"2015","08août","4.83474352E8"
"2015","09septembre","4.51998823E8"
"2015","10octobre","4.81540201E8"
"2015","11novembre","4.77975262E8"
"2015","12décembre","4.94535082E8"
"2007","01janvier","4.47110941E8"
"2007","02février","3.63141858E8"
"2007","03mars","3.37088785E8"
"2007","04avril","4.49684137E8"
"2007","05mai","3.92904146E8"
"2007","06juin","3.56464729E8"
"2007","07juillet","4.7282286E8"
"2007","08août","3.87183303E8"
"2007","09septembre","3.90874813E8"
"2007","10octobre","4.434654E8"
"2007","11novembre","4.04897271E8"
"2007","12décembre","4.07770594E8"
"2008","01janvier","4.6600271E8"
"2008","02février","3.81812388E8"
"2008","03mars","3.50749301E8"
"2008","04avril","4.4506951E8"
"2008","05mai","4.29076051E8"
"2008","06juin","3.52238771E8"
"2008","07juillet","4.76447401E8"
"2008","08août","3.97859746E8"
"2008","09septembre","3.9093289E8"
"2008","10octobre","4.67043046E8"
"2008","11novembre","4.04716315E8"
"2008","12décembre","3.79889639E8"
"2009","01janvier","4.7853926E8"
